image,true_class,assignment,dataset
02905.jpg,Chevrolet,train,stanford_cars
00785.jpg,Audi,train,stanford_cars
00115.jpg,Dodge,train,stanford_cars
02901.jpg,BMW,train,stanford_cars
01430.jpg,Chevrolet,train,stanford_cars
07222.jpg,Ford,train,stanford_cars
06308.jpg,BMW,train,stanford_cars
02825.jpg,Dodge,train,stanford_cars
03232.jpg,Ford,validate,stanford_cars
05518.jpg,Audi,validate,stanford_cars
1.jpg,Chevrolet,test,stanford_cars
2.jpg,Chevrolet,test,stanford_cars
3.jpg,Chevrolet,test,stanford_cars
4.jpg,BMW,test,stanford_cars
5.jpg,BMW,test,stanford_cars
6.jpg,Chevrolet,test,stanford_cars
7.jpg,Chevrolet,test,stanford_cars
8.jpg,Chevrolet,test,stanford_cars
9.jpg,Audi,test,stanford_cars
10.jpg,Chevrolet,test,stanford_cars
11.jpg,Audi,test,stanford_cars
12.jpg,Chevrolet,test,stanford_cars
13.jpg,Ford,test,stanford_cars
14.jpg,Dodge,test,stanford_cars
15.jpg,Chevrolet,test,stanford_cars
16.jpg,BMW,test,stanford_cars
17.jpg,Chevrolet,test,stanford_cars
18.jpg,Chevrolet,test,stanford_cars
19.jpg,Chevrolet,test,stanford_cars
20.jpg,Dodge,test,stanford_cars
21.jpg,Dodge,test,stanford_cars
22.jpg,Audi,test,stanford_cars
23.jpg,BMW,test,stanford_cars
24.jpg,Audi,test,stanford_cars
25.jpg,Dodge,test,stanford_cars
26.jpg,Ford,test,stanford_cars
27.jpg,BMW,test,stanford_cars
28.jpg,BMW,test,stanford_cars
29.jpg,Ford,test,stanford_cars
30.jpg,Dodge,test,stanford_cars
31.jpg,Chevrolet,test,stanford_cars
32.jpg,Audi,test,stanford_cars
33.jpg,Dodge,test,stanford_cars
34.jpg,BMW,test,stanford_cars
35.jpg,Audi,test,stanford_cars
36.jpg,Audi,test,stanford_cars
37.jpg,Audi,test,stanford_cars
38.jpg,Audi,test,stanford_cars
39.jpg,BMW,test,stanford_cars
40.jpg,Chevrolet,test,stanford_cars
41.jpg,BMW,test,stanford_cars
42.jpg,Chevrolet,test,stanford_cars
43.jpg,Dodge,test,stanford_cars
44.jpg,Ford,test,stanford_cars
45.jpg,Chevrolet,test,stanford_cars
46.jpg,Dodge,test,stanford_cars
47.jpg,Audi,test,stanford_cars
48.jpg,BMW,test,stanford_cars
49.jpg,Dodge,test,stanford_cars
50.jpg,Ford,test,stanford_cars
51.jpg,Dodge,test,stanford_cars
52.jpg,Audi,test,stanford_cars
53.jpg,Audi,test,stanford_cars
54.jpg,BMW,test,stanford_cars
55.jpg,BMW,test,stanford_cars
56.jpg,Ford,test,stanford_cars
57.jpg,Audi,test,stanford_cars
58.jpg,Ford,test,stanford_cars
59.jpg,BMW,test,stanford_cars
60.jpg,Dodge,test,stanford_cars
61.jpg,BMW,test,stanford_cars
62.jpg,Dodge,test,stanford_cars
63.jpg,Chevrolet,test,stanford_cars
64.jpg,Ford,test,stanford_cars
65.jpg,Chevrolet,test,stanford_cars
66.jpg,Dodge,test,stanford_cars
67.jpg,Chevrolet,test,stanford_cars
68.jpg,Ford,test,stanford_cars
69.jpg,Audi,test,stanford_cars
